epoch,train_loss,val_loss,macro_auc
1,0.29957817690003485,0.576258048415184,0.3790343915343915
2,0.2845017968543938,0.5812467932701111,0.39639550264550266
3,0.2827433631533668,0.5476644337177277,0.4208994708994709
4,0.2824624251751673,0.565945640206337,0.36236772486772484
5,0.2786703035235405,0.556187242269516,0.4297619047619048
6,0.27823049220300855,0.5489516109228134,0.42817460317460315
7,0.2742046877032235,0.5568616986274719,0.44649470899470894
8,0.27338449763400213,0.569179967045784,0.443287037037037
9,0.2705607623571441,0.5673054605722427,0.44305555555555554
10,0.26995293618667693,0.571395754814148,0.4884589947089948
11,0.2673101393239839,0.5636851340532303,0.4773809523809524
12,0.26606757282501176,0.5762459188699722,0.47734788359788366
13,0.26438525478754726,0.5648748427629471,0.4563161375661376
14,0.2633747545381387,0.5684542208909988,0.5051587301587301
15,0.262820704352288,0.5679001659154892,0.4815145502645503
16,0.26539957239514306,0.5847104489803314,0.4396164021164022
17,0.266492192056917,0.5708183199167252,0.42037037037037034
18,0.2641400160888831,0.5895569920539856,0.4462632275132275
19,0.26041216740296,0.5825529098510742,0.48095238095238096
20,0.25961482400695485,0.564096674323082,0.4611111111111111
21,0.2574136232336362,0.5895016044378281,0.46236772486772487
22,0.25513231984916185,0.6218807548284531,0.44470899470899466
23,0.2546533889004162,0.5974729657173157,0.39632936507936506
24,0.25107554931725773,0.59099180996418,0.4867724867724868
