epoch,train_loss,val_loss,macro_auc
1,0.02016659628198539,0.6313895881175995,0.5376913584824027
2,0.01840882270097815,0.6422857582569123,0.5811181673815043
3,0.01763698373321773,0.6427515745162964,0.5882319477070738
4,0.017053080658371772,0.6336007237434387,0.5921419040894413
5,0.01644404058715133,0.6231272876262665,0.5969344004104293
6,0.015978404338142283,0.6127654016017914,0.6026381855205403
7,0.015489866810423728,0.6050331771373749,0.6118114883693045
8,0.015172931121904095,0.597353333234787,0.6178353569624349
9,0.014662363097581045,0.5914674580097199,0.625035078107947
10,0.014410898009333142,0.5867401540279389,0.6239521333520539
11,0.013923091178783088,0.5826319277286529,0.6227495937628514
12,0.01367701987674182,0.579231196641922,0.6243643698070889
13,0.013363196100983049,0.5770376414060593,0.6271360529950013
14,0.013168632926918484,0.5755840450525284,0.6216806579581734
15,0.013087102943949032,0.5752157270908356,0.6192267382365434
16,0.014303622793699537,0.5747610300779342,0.6228114111194891
17,0.014213648793874155,0.5757896304130554,0.6245525095949306
18,0.013873627160428843,0.5776025712490082,0.6274788755661325
19,0.013668884561803624,0.5760042011737824,0.6295561292753243
20,0.013316298672255355,0.5763935953378677,0.6339169578409781
21,0.012986913630198585,0.579142764210701,0.6341636990800582
22,0.012635157523337154,0.5793280482292176,0.6366451830646274
23,0.012412411301944775,0.5794815629720688,0.6376919846686471
24,0.012157851353529533,0.5825289040803909,0.6391631536479234
25,0.011673543930892415,0.5847935527563095,0.6395806854115308
26,0.011334241857013835,0.5880038529634476,0.6388403231899794
27,0.011270761534569075,0.5892216056585312,0.6382336867753624
28,0.01068939251351834,0.5927571684122086,0.6407534854289485
29,0.010281806920709098,0.5968598425388336,0.6420374723385573
30,0.009907463407568448,0.6015653938055039,0.6467373201752826
31,0.009535204074879367,0.603708091378212,0.6435064096142836
32,0.009231625448330949,0.6097470432519912,0.6418233522903324
33,0.008795943984617763,0.6140998125076294,0.6435364115848042
34,0.008483615761766858,0.620865187048912,0.6424746216038705
35,0.00810275760798288,0.6269272595643998,0.6396661002689833
36,0.007679201180156505,0.6349870830774307,0.6380857405093775
37,0.0073255958844063735,0.6436921238899231,0.6373950806619159
38,0.007082356894465977,0.6525924444198609,0.6353909212453314
39,0.006800919602520877,0.6612831473350524,0.634989259201777
40,0.0065962449340046855,0.668333786725998,0.6358441285247907
