epoch,train_loss,val_loss,macro_auc
1,0.04321438383029534,0.0683607561657062,0.7076483851903298
2,0.03670482191241641,0.08708086389188584,0.6943692989936259
3,0.02966094745818427,0.09561884394631937,0.6368635426489673
4,0.023288614149511562,0.11604202704933973,0.6427283590989282
5,0.018020061552122425,0.15282567280989426,0.6553453192282173
6,0.013391249469034484,0.17259280171531896,0.6437495952179918
7,0.009651095657568274,0.20049914001272276,0.655709499158491
8,0.006834663863141196,0.22162722842051433,0.6577289421491223
9,0.005155144516041391,0.23730790878717717,0.6549898011168128
10,0.004299771994621044,0.24222503682741753,0.6552633947661676
11,0.012420340785957778,0.18833617052206628,0.6414526259345158
