epoch,train_loss,val_loss,macro_auc
1,0.02030295044060241,0.6260208010673523,0.5346369580736322
2,0.018736981080577437,0.638354754447937,0.5673483868047712
3,0.01777895459344415,0.6404548466205597,0.6076588703439331
4,0.017083459971112443,0.6301371634006501,0.615484536669309
5,0.01646010376363787,0.6175820231437683,0.6162279201151569
6,0.01599396391030792,0.6059840202331543,0.6167946775836886
7,0.015624976503400348,0.5972848236560822,0.6150551426684431
8,0.0152450852161685,0.5914497047662735,0.6112629662660859
9,0.014677134509074877,0.5864801585674286,0.611539301679139
10,0.01425818330736944,0.5827687472105026,0.6075253415537895
11,0.013885362073135928,0.579751455783844,0.6057140371537283
12,0.013571527371059548,0.5781624972820282,0.6074042024981018
13,0.013294808999107873,0.577678382396698,0.6072992587210122
14,0.013042496985534608,0.5778464764356613,0.60977725976653
15,0.012807245921660009,0.5779298305511474,0.6094864701566166
16,0.014297690302987701,0.5778132915496826,0.6104325271649631
17,0.014162196947560126,0.5791157811880112,0.6114676596271255
18,0.013718551323872615,0.5797183007001877,0.6075313966079755
19,0.013534035203716002,0.5812628716230392,0.6097559414459192
20,0.013155998761806823,0.5828258842229843,0.610277722875809
21,0.012705654415909139,0.581974858045578,0.6150723588236792
